主叫电话号码   通话类型    话费余额（元）
  83491234      本地通话      0.30
  84927038      长途话费      4.80
  87216340      本地通话      0.90
  83491234      长途话费      2.00
  58120321      长途话费      0.80
  83491234      本地通话      0.30
  84927038      本地通话      0.30
  58120321      本地通话      0.30
  87216340      长途话费      2.40
  83491234      长途话费     16.80
  84927038      长途话费     16.00
  83491234      本地通话      1.70
  84927038      本地通话      0.90
  58120321      长途话费      3.20
  87216340      本地通话      0.70
  87216340      长途话费      4.80
  83492200      本地通话      0.90
  83491234      本地通话      0.70
  84927038      本地通话      0.50
  83492200      本地通话      0.30
